DG2


月

3,4,5,6
ゲーム制作技術総合実習Ⅱ,tablet,277,浅・吉・高,


火

1,2
チームワークとリーダーシップ,leader,374,神田・東山,

3,4
ゲームデザイン実践演習,halloween,313,浅野・後藤,


金

3,4
ゲームプログラミングⅠ,sleeping,277,二村・水上恵,
