IA2


月

3,4
メディア情報処理実習,programming,374・376,上條・町出,https://lms-tokyo.iput.ac.jp/course/view.php?id=3487


火

3,4
機械学習,read,361・363,神沼・森,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=87717


木

2,3
チームワークとリーダーシップ,leader,371・373,石田・神田,https://lms-tokyo.iput.ac.jp/course/view.php?id=3377


金

3,4
機械学習,read,311,神沼・森,https://lms-tokyo.iput.ac.jp/mod/attendance/view.php?id=87717
